legacy_code	folio_name
LAW-SPEC	Available
LAW-WD-DIGITAL-SUB	Available
LCK-STOR	Available
LCKBYTITL	Available
LEWIS-COLL	Available
LL-NEWS	Available
LOAN-DESK	Available
LOCK-CHN	Available
LOCK-HOLDS	Available
LOCK-JPN	Available
LOCK-KOR	Available
LOCK-STK-O	Available
LOCKED-DIS	Available
LOCKED-MAP	Available
LOCKED-STK	Available
LOST-ASSUM	Available
LOST-CLAIM	Available
LOST-PAID	Lost and paid
MAGAZINE	Available
MAKERBAR	Available
MANNING	Available
MANUSCRIPT	Available
MAP-CASES	Available
MAP-FILE	Available
MAP-REF	Available
MAP-STOR	Available
MAPS	Available
MAR-PAGE-HP	Available
MAR-WD-DIGITAL-SUB	Available
MAT-LOAN	Awaiting pickup
MATH-ARCH	Available
MATH-RESV	Available
MATH-TECH	Available
MATH-TEMP	Available
MEDIA	Available
MEDIA-30	Available
MEDIA-EXHIBIT	Available
MEDIA-MTXT	Available
MEDIA-PAGE-MD	Available
MEDIA-REPAIR-SHELF	Available
MEDIA-RESV	Available
MEDIA-SHADOW	Available
MEDIA-TECH-PROCESSOR	Available
MEDIA-WD-DIGITAL-SUB	Available
MEDIAX	Available
MEDIAX-30	Available
MEDIEVALRM	Available
MEMLIBMUS	Available
MEY-LOAN	Awaiting pickup
MEYER-RESV	Available
MEZZ-STOR	Available
MEZZANINE	Available
MICROFICHE	Available
MICROFILM	Available
MICROTEXT	Available
MINIATURE	Available
MISS-INPRO	Missing
MISSING	Missing
MM-ARTCAB	Available
MM-BUSCAB	Available
MM-CDCAB	Available
MM-CMPACT2	Available
MM-DIZOCAB	Available
MM-MATHCAB	Available
MM-OVERSIZ	Available
MM-STACKS	Available
MP-CASE-LG	Available
MP-CASE-MD	Available
MP-CASE-RF	Available
MP-CASE-SM	Available
MSS-10	Available
MSS-20	Available
MSS-30	Available
MSSX	Available
MSSX-30	Available
MUS-INPROCESS	Available
MUS-LOAN	Awaiting pickup
MUS-NOCIRC	Available
MUS-PAGE-LP	Available
MUS-PAGE-MU	Available
MUS-SHADOW	Available
MUS-TXTBK	Available
MUS-WD-DIGITAL-SUB	Available
MUSIC-RESV	Available
ND-PAGE-EA	Available
NEWBOOKS	Available
NEWS-STKS	Available
NEWSPAPERS	Available
NEWTON	Available
ON-ORDER	On order
OPEN-RES	Available
OUT-TRAVEL	Available
OVERSIZED	Available
PAGE-AR	Available
PAGE-AS	Available
PAGE-BU	Available
PAGE-EA	Available
PAGE-ED	Available
PAGE-EN	Available
PAGE-ES	Available
PAGE-GR	Available
PAGE-HA	Available
PAGE-HP	Available
PAGE-HV	Available
PAGE-IRON	Available
PAGE-IRON2	Available
PAGE-LN	Available
PAGE-LP	Available
PAGE-LW	Available
PAGE-MD	Available
PAGE-MM	Available
PAGE-MP	Available
PAGE-MU	Available
PAGE-RM	Available
PAGE-SI	Available
PAGE-SP	Available
PAGE-TA	Available
PERM-RES	Available
PERSIAN	Available
PGDFROMSAL	Missing
PHOTO-PERM	Available
PHY-LOAN	Awaiting pickup
PHYS-RESV	Available
PHYSTEMP	Available
POPSCI	Available
PUB-TECH	Available
R-FOLIO	Available
R-FOLIO-FL	Available
R-MINIATUR	Available
R-STACKS	Available
RARE-BOOKS	Available
RARE-STOR	Available
RAUB-COLL	Available
RAUB-NUM	Available
RBC-30	Available
RBCX	Available
RBCX-30	Available
READING-RM	Available
READY-REF	Available
RECORDINGS	Available
REF-CHN	Available
REF-DESK	Available
REF-FOLIO	Available
REF-JPN	Available
REF-KOR	Available
REF-SERIAL	Available
REFERENCE	Available
REPAIR	In process
RESEARCH	Available
RESERVES	Available
RESV-DESKS	Available
RET-REF	Available
ROB-STOR	Available
ROBINSON	Available
RUM-LOAN	Awaiting pickup
RUM-PAGE-RM	Available
RUM-SCANLAB	Available
RUM-SHADOW	Available
RUM-WD-DIGITAL-SUB	Available
RUMSEY	Available
RUMSEYREF	Available
RUMXEMPLAR	Available
RWC-LOAN	Awaiting pickup
SAFETY	Available
SAL-ARABIC	Available
SAL-FOLIO	Available
SAL-LOAN	Awaiting pickup
SAL-MUSIC	Available
SAL-NEWARK	Available
SAL-PAGE	Available
SAL-PAGE-EA	Available
SAL-PAGE-GR	Available
SAL-RETURN	In transit
SAL-SERG	Available
SAL-SHADOW	Available
SAL-TEMP	Available
SAL-WD-DIGITAL-SUB	Available
SAL3-PAGE-FC	Available
SAL3-SHADOW	Available
SAL3-WD-DIGITAL-SUB	Available
SALDCPROJ1	On order
SALDCPROJ1	Long missing
SALDCPROJ2	Long missing
SALN-WD-DIGITAL-SUB	Available
SALTURKISH	Available
SAMSON	Available
SCBS	Available
SCI-LOAN	Awaiting pickup
SCI-RESV	Available
SCI-SHADOW	Available
SCI-WD-DIGITAL-SUB	Available
SCIFI	Available
SCORES	Available
SEE-ARCHIV	Available
SEE-EASTA	Available
SEE-LOAN	Available
SEE-OTHER	Unknown
SEL-NOTIFY	Long missing
SERIALS	Available
SETS	Available
SGC	Available
SHADOW-ORD	Available
SHELBYSER	Available
SHELBYTITL	Available
SL3-LOAN	Awaiting pickup
SLN-LOAN	Awaiting pickup
SOUTH-MEZZ	Available
SPE-LOAN	Awaiting pickup
SPEC-INPRO	In process (non-requestable)
SPEC-INPROCESS	In process (non-requestable)
SPEC-INPROCESS-RWC	In process (non-requestable)
SPEC-INPROCESS-UA	In process (non-requestable)
SPEC-PAGE-FC	Available
SPEC-STOR	Unavailable
SPECDESK	Available
SSRC	Available
SSRC-ANRPT	Available
SSRC-ATLAS	Available
SSRC-CLASS	Available
SSRC-CSLI	Available
SSRC-CURR	Available
SSRC-DATA	Available
SSRC-DESK	Available
SSRC-DOCS	Available
SSRC-EDU	Available
SSRC-FIC-S	On order
SSRC-FICHE	Available
SSRC-FILM	Available
SSRC-NEWBK	Available
SSRC-NWDOC	Available
SSRC-SLS	Available
SSRC-SSDS	Available
SSRC-STATS	Available
STACKS	Available
STACKS-1	Available
STACKS-2	Available
STACKS-3	Available
STACKS-30	Available
STACKS-BW	Unknown
STAFF	Available
STAFSHADOW	Available
STK-GEMS	Available
STK-LG	Available
STK-MED	Available
STK-NOCIRC	Available
STK-SM	Available
STK-XLG	Available
STKS1-NEW	Available
STORAGE	Available
STORBYTITL	Available
STUDY-AIDS	Available
SUL-BIND	In process
SUL-LOAN	Awaiting pickup
SUL-SHADOW	Available
SUL-SHADOW-ORD	Available
SUL-TS-CC-BINDERYPREP	Available
SUL-TS-CC-BOOKJACKET	Available
SUL-TS-CC-KASEMAKE	Available
SUL-TS-CC-REPAIR	Available
SUL-TS-CC-SPECIALPROJECTS	Available
SUL-TS-COLLECTIONCARE	Available
SUL-TS-CONSERVATIONSERVICES	Available
SUL-TS-MAINTENANCE	Available
SUL-TS-PROCESSING	Available
SUL-WD-DIGITAL-SUB	Available
SULBIND-WA	In process (non-requestable)
SW-RESERVE-DESK	Available
TAN-LOAN	Awaiting pickup
TAN-REF-DESK	Available
TANN-RESV	Available
TAUBE	Available
TECH-ACQ	Unavailable
TECH-CAT	Unavailable
TECH-CONS	Unavailable
TECH-DESK	Available
TECH-PROC	Unavailable
TECH-RPTS	Available
TECH-SER	Unavailable
TECH-SERV	Unavailable
TEMP-LL	Available
TEMP-LOC	Available
TERM-COLL	Available
THEA-STOR	Available
THEATRE	Available
THESES	Available
TIMO-COLL	Available
TINY	Available
TRES-LAIR	Available
TURKISH	Available
U-ARCHIVES	Available
UARCH-30	Available
UARCH-REF	Available
UARCH-STOR	Available
UARCHX	Available
UARCHX-30	Available
UNCAT	Available
UNDERGRAD	Available
UNKNOWN	Unknown
US-LOCAL	Available
US-STATE	Available
VARIES	Available
VAULT	Available
VROOMAN	Available
VROOMAN-OV	Available
VROOMAN2	Available
W7-ATLASES	Available
W7-BXLG-HM	Available
W7-BXO	Available
W7-BXSM-HM	Available
W7-CASE-HM	Available
W7-CASE-MD	Available
W7-CASE-MP	Available
W7-CASE-MT	Available
W7-CATALOG	Available
W7-CONSERV	Available
W7-FOLIO	Available
W7-FRAME	Available
W7-M-CASES	Available
W7-MAP-BXL	Available
W7-MAP-BXS	Available
W7-MAP-XLG	Available
W7-OBJECTS	Available
W7-POCK-LG	Available
W7-POCK-RG	Available
W7-POCKET	Available
W7-REF	Available
W7-ROLLED	Available
W7-SANBORN	Available
W7-STAFF	Available
W7-STFSHD	Available
W7-STK-LG	Available
W7-STK-MED	Available
W7-STK-SM	Available
W7-STK-XLG	Available
W7-STKS	Available
W7-STORAGE	Available
WELLNESS	Available
WEST-7B	Available
WITHDRAWN	Withdrawn
